"","Response.ID","City.area","Age","Comments"
"163","2rkHF1fT","Coyle","55-64","The premise at the outset of the survey that rehabilitation/repair of the current pool facility is stated as fact without any support.   If you begin the survey with this premise, and if it is supported by research and investigation you should state this and explain what work was done to determine this.   It may very well be true but it deserves a short explanation about how this conclusion was reached.   Some people responding to this survey may be put off by a survey that begins from that premise without more."
"164","xMEBhrG8","Port Townsend (within city limits)","65-74","I completely support an aquatic center. However I have reservations about it turning into a complete sports and health facility. While I love the idea of those add-ons, I can’t afford any more taxes to pay for it. Keep it focused on aquatics and I am 100% supportive."
"165","Q2CixZ2J","Chimacum","35-54","Disappointed that you didn’t use the data collected by the task force on choosing the site."
"166","3aB64mss","Port Townsend (within city limits)","75+","Why is the facility planned for Port Hadlock?  Is it because county residents outside of PT don’t want to pay for something that is located in PT?  Please consider the reverse of that when asking PT residents to pay for a facility in Hadlock."
"167","tICiITN0","Marrowstone","55-64",""
"168","hGEBxpq1","Chimacum","35-54",""
"169","WFDTsHhm","Chimacum","35-54","The site by habitat is not ideal - it's off of major arteries and poses a challenge for those who live rural. Would prefer the site across from HJ Carrol Park - easier access for more county residents."
"170","3RfLIPlb","Port Ludlow","75+","Most people in Port Ludlow have access to a pool and rec facilities at one of the two clubs. We don't, and I really miss having a swimming pool close by. I planned to vote for the pool even if it were in Port Townsend, where I don't often go, because of its value to the community. But if it's in Port Hadlock, it's close enough that I can use it!"
"171","ZlEBq6xp","Port Townsend (within city limits)","65-74","I support the goal of a new aquatic facility , a reasonably big pool with an area for young children. In my opinion, saunas, gymnasiums,or meeting/event spaces are superfluous to the need for a pool that will last for many years. If it is built I intend to use it occasionally. My extended family members in the area would use it more frequently."
"172","KqCikKIq","Port Ludlow","65-74","I have concerns about trying to be more than an aquatic center and creating a burden for maintenance and sustainability.  The project planners need to be clear about the end goal and not try to include additional non-aquatic infrastructure that will be costly to sustain just to gain interest.  Must also keep n mind the impact on the environment of Hadlock-Irondale in terms of public safety."
"173","XCDTgWSK","Port Townsend (within city limits)","18-34",""
"174","34C42x0J","Port Townsend (within city limits)","75+","Would be a great asset to the community for all age groups."
"175","9oB6vwBW","Port Hadlock-Irondale","35-54","I would love to access to work out facilities in Hadlock during the winter. I didn’t really care for a port Townsend pool, but have gotten excited about the new location in port Hadlockvclose to my home . I could ride my bike to the purposed site and would enjoy pool access and fitness classes like yoga. I would also love a public gym for cardio and weights., A sauna and showers woukd be amazing!!!!"
"176","0BCYX66V","Port Hadlock-Irondale","35-54",""
"177","hOkrSaKq","Port Townsend (within city limits)","65-74","Although our family would not participate in youth activities, we do think they are important to the needs of a diverse community. We are curious to know what the future plans are for the Mountain View Pool facility if the new aquatics center is built."
"178","KcC4HY9I","Chimacum","65-74","I would highly object to building a pool with public funds then having it run by the YMCA.  I believe that would be a misuse of public funds for a private organizations gain. The Y took over the Sequim Aquatic center and raised the rates, which are significantly higher than at the Port Angeles pool.  If the pool is built with public funds, it should be run by the county."
"179","fSfPY3dm","Marrowstone","18-34","This facility would be an amazing asset to our community. People of all ages would benefit from this."
"180","08fzd3vQ","Port Ludlow","65-74","A Port Hadlock/Tri-Area location will be certain to increase accessibility and participation for more county residents, their guests and area visitors. Aquatic activities are a great boon to fitness, fun and wellbeing for all age groups."
"181","czCKV9bA","Port Townsend (within city limits)","35-54","Pool for swimming lessons and fun! And outdoor splash pad would really sweeten the deal."
"182","ZyEBwlZv","Port Townsend (within city limits)","65-74","I'd like to see a zero clearance pool so elders could enter the pool easily and the very young would be safer.  I'm not a fan of chlorine (it makes my eyes and nose run) could UV be used? or some other less toxic disinfectant? I'd love to have access to water exercise classes."
"183","TCCim4EQ","Port Townsend (within city limits)","65-74",""
"184","H2CKTOZ6","Chimacum","65-74","I believe the cheaper you make it, the more people will be willing to pay taxes. I think it is a mistake to try to go beyond the aquatic facility notion. If you start trying to spend money on pickleball courts, cafes, etc. the cost will just get too high.  Why not consider doing the development in two stages? Try to get the aquatic facility built first? See if it is successful, then possibly add a recreation facility later? I am willing to pay more taxes but many of my neighbors out here in the County are Republican, and they are totally against an increase of taxes. This will never work unless you make it as reasonable in cost as possible. There are a lot of rich people in Port Townsend, but not out here in the County."
"185","6Aksv9Dd","Port Townsend (within city limits)","65-74",""
"186","zKflmmpR","Quilcene","55-64",""
"187","OFCiE6Q3","Port Townsend (outside the city limits)","65-74","Extended hours for lap swimming would be ideal to be able to avoid crowds. Or perhaps a lane reservation system."
"188","YsfrjI7z","Chimacum","35-54",""
"189","BICYyx7z","Port Townsend (within city limits)","18-34","I think adding more activities for kids, teens, and young adults will make living in the area better and give the youth things to do around the small towns"
"190","scCiTY90","Chimacum","35-54",""
"191","uvEBc8u3","Port Townsend (outside the city limits)","75+",""
"192","0zEBVCT9","Port Hadlock-Irondale","18-34",""
"193","DeCKbZ6C","Chimacum","75+",""
"194","1oB6iT4l","Port Townsend (within city limits)","35-54","We want this"
"195","hDCKz1jm","Quilcene","18-34",""
"196","EBC4R0eX","Marrowstone","55-64","I had no interest in the pool when it was going to be in PT but I support the proposed location next to Chimacum school and would use the facility."
"197","8gCKrAck","Port Ludlow","35-54",""
"198","yaCYi5w6","Port Townsend (outside the city limits)","65-74",""
"199","lPCiZh6h","Port Townsend (within city limits)","18-34",""
"200","TxfvZKGN","Port Townsend (outside the city limits)","75+",""
"201","rWklp3Nx","Port Townsend (outside the city limits)","55-64","I feel the process was not transparent, so I have no trust in this new pool/ facility. I will not use it if the YMCA is involved, due to how they treated a PT member. I believe the cost is too high."
"202","m7B6nayv","Quilcene","35-54","Having another gym area would be a huge help for our local youth sports."
"203","S8CiDzDA","Port Hadlock-Irondale","35-54",""
"204","XtCYKrwr","Port Townsend (outside the city limits)","65-74","Thanks for all the work you are putting into this project."
"205","fmCYWNLV","Discovery Bay","55-64",""
"206","ChCiH8Gx","Discovery Bay","75+",""
"207","Qrkvkssa","Port Townsend (within city limits)","75+",""
"208","AhfdOeay","Marrowstone","75+",""
"209","dOfwVQsm","Port Ludlow","65-74",""
"210","1bCKZdrv","Port Townsend (outside the city limits)","55-64","Though we no longer have young children or teens, we work for Chimacum School District and see a long, overdue need for this recreation center for families in Jefferson County."
"211","zskW5CTp","Port Townsend (outside the city limits)","65-74","It will be a good addition for the county and good location.  I am concerned with overall costs and if the planning/construction can be done in stages so we can all be behind the project and get at least a replacement pool in the future."
"212","9yCYhp1g","Port Townsend (within city limits)","55-64","I heard there will be a $20 million bond and cost could be as high as $40 million. For that kind of money, I’d prefer that we support our young people and families by offering enrichment programs. We need programs to keep and bring in younger people and families. $20 million can provide a lot of programming."
"213","Hmf4kVw3","Port Townsend (within city limits)","65-74","very supportive"
"214","2hB6bxaq","Port Townsend (outside the city limits)","75+","For the future of this greater community I believe an aquatic center for all age groups is very important"
"215","nhDTuBEJ","Port Townsend (within city limits)","65-74","Although I might not utilize the pool myself, I think it’s a very important community asset in attracting and retaining younger workers and their families.  Who wants to work in a community that can’t even provide aquatic activities for their kids?  Given our proximity to salt water for boating, kayaking, etc.  swimming and water safety instructions should be readily available and affordable for young and old alike.  It’s irresponsible not to.   Also to be taken into consideration are public transportation options and regular schedules that will make it quick and easy to get to the pool without driving.  Having it located near the library is perfect:  we can dip into the pool and into our favorite books on the same trip.  Thanks and best wishes in helping make this a reality!"
"216","UNCKfos8","Port Townsend (outside the city limits)","35-54",""
"217","4RB6ffxq","Chimacum","35-54",""
"218","ihCi5oc4","Port Townsend (outside the city limits)","35-54",""
"219","MDDTBUC2","Kala Point","65-74",""
"220","FzCidCmx","Chimacum","65-74","Stick to the basics to keep costs down and it actually happens"
